source_id,provider,dataset,decision,architecture_role,condition_or_rationale
SRC-001,binance,"Spot historical archive (data.binance.vision daily aggTrades/klines)",ACCEPT,BACKFILL_PRIMARY,"Real objects acquired HTTP 200 (2024-12-31, 2025-01-01); provider CHECKSUM sidecar matches local SHA-256; ms→µs boundary verified on archive files."
SRC-001b,binance,"Spot + perp live REST (api.binance.com / fapi.binance.com)",ACCEPT,INCREMENTAL_PRIMARY,"Live REST for incremental capture; funding (last_funding_rate, 8h) and perp trades reachable. Does NOT prove backfill (that is SRC-001)."
SRC-002,binance,"Bulk monthly archive + replacement register",ACCEPT,BACKFILL_PRIMARY,"Monthly files reachable; replacement register (updates/*.csv) audited with old→new checksums. Original 404 was wrong host (data-api vs data.binance.vision)."
SRC-003,kraken,"Historical bulk trade/OHLCVT files (data.kraken.com)",CONDITIONAL,BACKFILL_PRIMARY,"CONDITION: host data.kraken.com does NOT resolve from this environment (DNS failure 2026-07-18). Acquire from a host where it resolves; verify ZIP/CSV layout, no-trade omission, reconstructed-vs-provider bars."
SRC-003b,kraken,"Live REST (Trades + OHLC)",ACCEPT,INCREMENTAL_PRIMARY,"Reachable; Trades + OHLC valid as incremental source. OHLC capped at 720 entries; NOT a historical-backfill source."
SRC-004,okx,"Historical trade/funding/L2 files (bulk-data-download.okx.com)",CONDITIONAL,BACKFILL_PRIMARY,"CONDITION: host bulk-data-download.okx.com does NOT resolve from this environment (DNS failure 2026-07-18). Acquire from a resolvable host; verify historical file layout/compression/schema."
SRC-004b,okx,"Live REST (/market/trades, /public/funding-rate-history, /market/books, /public/instruments)",ACCEPT,INCREMENTAL_PRIMARY,"Reachable; instruments give ctType/ctVal; funding formulaType present. Live snapshots are incremental only, not historical qualification."
SRC-005,bybit,"Historical trade archive (public.bybit.com/trading/<SYM>/)",ACCEPT,BACKFILL_PRIMARY,"Real CSV.gz files acquired (BTCUSD 2019, BTCUSDT 2020); schema + units confirmed. Pagination demonstrated on instruments-info."
SRC-005b,bybit,"Live REST (instruments-info, funding/history, tickers)",ACCEPT,INCREMENTAL_PRIMARY,"Reachable; cursor pagination verified (distinct pages). Funding history capped at most-recent ≤100 events."
SRC-006,coin_metrics,"Community API v4 catalog + timeseries",ACCEPT,REFERENCE_METADATA,"Catalog + real timeseries acquired. Issued supply = SplyCur (NOT SplyIssued). Flat data format. SplyCur != circulating float. CONDITIONAL for NET-01 (publication-time/revision not bounded)."
SRC-006b,coin_metrics,"NET-01 publication-time / revision audit",CONDITIONAL,REFERENCE_METADATA,"CONDITION: publication-time vs block-time lag and revision/backfill behavior not yet bounded. NET-01 remains deferred."
SRC-007,defillama,"Chains TVL + stablecoins APIs",ACCEPT,REFERENCE_METADATA,"Reachable; TVL/stablecoin families. Recomputed server-side."
SRC-007b,defillama,"Emissions/unlock adapters (current repo, pinned commit)",CONDITIONAL,REFERENCE_METADATA,"CONDITION: old SDK path 404; current repo located (Sec. 8). Pin exact commit; verify upstream, mapping, recomputation, revision limits before reliance."
SRC-008,token_unlocks,"Tokenomist public API",DEFER,REFERENCE_METADATA,"DEFER: TLS to api.tokenomist.com fails (TLSV1_UNRECOGNIZED_NAME). Cannot confirm reachability, terms, or historical-schedule vintage preservation. Blocks DIL-01."
SRC-008b,token_unlocks,"On-chain vesting + project docs + governance + DefiLlama adapters",CONDITIONAL,REFERENCE_METADATA,"CONDITION: on-chain vesting not queried (needs keys); cross-check required. Vintage preservation unconfirmed for every candidate."
SRC-009,messari,"Messari API",CONDITIONAL,EXPLORATORY_PHASE2,"CONDITION: 404/429 without key. Trial/key required; terms restrict redistribution. Phase-2 crosscheck only."
SRC-010,on_chain,"Node/explorer + Dune + Glassnode",CONDITIONAL,REFERENCE_METADATA,"CONDITION: not queried this audit. Required for NET-01 and DIL-01 publication-time audit; needs API keys/rate limits. Separate procurement."
