source_id,dataset,key_schema_findings,timestamp_precision,unit_conventions,missing_interval_semantics,revision_replacement_behavior,status_fields
SRC-001,binance spot klines/open/aggTrades,"Klines: [open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_base,taker_quote,ignore] (12 arrays). aggTrades: a(aggId),p(price),q(qty),nq(priceQuote),f(firstTradeId),l(lastTradeId),T(tradeTime),m(isBuyerMaker).","millisecond epoch UTC; open_time = bucket start; 1m bucket [1735689600000, 1735689659999] confirmed no T-boundary shift on 2025-01-01","price quote USD; volume base asset; quote_volume in quote","klines emit a bar per bucket even if empty (volume 0); aggTrades omit zero-trade buckets","REST is live/current; historical bulk zip subject to provider replacement (checksum register unreachable this audit)","none in REST sample"
SRC-003,binance usd-m perp funding,"fundingRate: symbol,fundingIntervalHours,fundingRate,fundingTime,markPrice. aggTrades same schema as spot.","ms epoch UTC","contracts/USDT; funding in fraction of notional","funding emitted at interval (8h) timestamps","live; subject to replacement like spot","none"
SRC-004,kraken OHLCVT/Trades,"OHLC: [time,open,high,low,close,vwap,volume,count]; Trades: [price,volume,time,side,ordertype,misc]. Pair keys prefixed (XXBTZUSD).","unix seconds UTC (float for trades)","volume in base asset (XBT), price in quote (USD); pairs prefixed","OHLC 1h: verify whether no-trade intervals are omitted vs zero-filled (not confirmed this audit)","bulk files are point-in-time snapshots; reconstruction from trades differs by omitted/no-trade handling","none in sample"
SRC-005,okx trades/funding/book/instruments,"trades: instId,side,sz,px,tradeId,ts. funding: instId,fundingRate,fundingTime,formulaType,realizedRate. book: asks/bids/ts/action. instruments: ctType,ctVal,ctValCcy,state.","ms epoch UTC (ts/fundingTime)","linear SWAP: ctVal=0.01 BTC per contract; sz in contracts; px in USDT","book snapshot bounded by sz param; no interval semantics","live; OKX has dated funding-formula/interval changes recorded in docs (not pulled this audit)","instruments.state (live/settle); funding.formulaType"
SRC-006,bybit tickers/instruments/funding,"tickers: symbol,lastPrice,indexPrice,markPrice,turnover24h,volume24h. instruments-info: launchTime,deliveryTime,contractType,fundingInterval. funding: fundingRate,fundingRateTimestamp,nextPageCursor.","ms epoch UTC","linear: volume in base, turnover in quote; inverse: volume in contracts (NOT base) — unit divergence must be normalized","funding history cursor-paginated; no interval omission issue","live; funding interval fields explicit (fundingInterval)","instruments.state; funding.nextPageCursor"
SRC-007,coin_metrics v4,"catalog/assets: asset,full_name,metrics[{metric,frequencies[{frequency,min_time,max_time,community}]}]. timeseries: data[{asset,series[{metric,values:[{status,timestamp,value}]}]}].","ISO UTC with nanosecond precision (e.g. 2009-01-03T00:00:00.000000000Z)","native units; SplyIssued = ISSUED supply, not circulating float; AdrActCnt active addresses","per-metric frequency ranges give availability min/max; missing vs unsupported via status field","server-side; catalog reflects current availability; historical revision not client-visible","timeseries observation 'status' distinguishes missing/unsupported/active"
SRC-008,defillama chains/stablecoins,"chains: [{name,tvl,tokenSymbols,...}]; stablecoins: [{pegType, circulating[chain]]}.","date strings / unix","USD values; TVL aggregated","history recomputed server-side on each query; timestamps are effective dates","recomputed; revision not client-visible; pin SDK commit for adapters","none client-visible"
SRC-009,defillama emissions adapters,"TypeScript adapter per protocol; upstream = contracts/subgraphs; emits unlocked/emitted amounts.","block-based","token/chain mappings in adapter registry","adapter output is recomputed; not a fixed historical file","adapter code may move/change (ethereum/index.ts 404 at pinned commit this audit)","none"
SRC-010,token_unlocks,"(unverified) expected per-token unlock schedule + emissions + vesting.","unknown","token native","unknown","CANNOT CONFIRM whether historical schedule vintages are preserved (current charts may not retain old information sets)","unknown"
SRC-011,messari,"(unverified) asset profiles, metrics, market data.","unknown","USD / native","unknown","server-side; revision not client-visible","requires API key; status fields gated"
